url , matches
http://en.wikipedia.org/wiki/variety , 8
http://en.wikipedia.org/wiki/detail , 7
http://en.wikipedia.org/wiki/shaking , 7
http://en.wikipedia.org/wiki/card , 8
http://en.wikipedia.org/wiki/bent , 7
http://en.wikipedia.org/wiki/great , 7
http://en.wikipedia.org/wiki/feature , 8
http://en.wikipedia.org/wiki/dirt , 8
http://en.wikipedia.org/wiki/around , 7
http://en.wikipedia.org/wiki/leave , 7
http://en.wikipedia.org/wiki/mine , 7
http://en.wikipedia.org/wiki/hour , 9
http://en.wikipedia.org/wiki/leather , 9
http://en.wikipedia.org/wiki/peace , 9
http://en.wikipedia.org/wiki/then , 7
http://en.wikipedia.org/wiki/said , 7
http://en.wikipedia.org/wiki/simplest , 8
http://en.wikipedia.org/wiki/fireplace , 8
http://en.wikipedia.org/wiki/carefully , 7
http://en.wikipedia.org/wiki/truth , 16
http://en.wikipedia.org/wiki/mail , 9
http://en.wikipedia.org/wiki/government , 11
http://en.wikipedia.org/wiki/fur , 13
http://en.wikipedia.org/wiki/wild , 7
http://en.wikipedia.org/wiki/die , 7
http://en.wikipedia.org/wiki/decide , 7
http://en.wikipedia.org/wiki/private , 7
http://en.wikipedia.org/wiki/room , 7
http://en.wikipedia.org/wiki/base , 7
http://en.wikipedia.org/wiki/dull , 7
http://en.wikipedia.org/wiki/value , 7
http://en.wikipedia.org/wiki/book , 34
http://en.wikipedia.org/wiki/physical , 8
http://en.wikipedia.org/wiki/making , 7
http://en.wikipedia.org/wiki/found , 7
http://en.wikipedia.org/wiki/orange , 7
http://en.wikipedia.org/wiki/moment , 7
http://en.wikipedia.org/wiki/leaf , 18
http://en.wikipedia.org/wiki/life , 44
http://en.wikipedia.org/wiki/molecular , 8
http://en.wikipedia.org/wiki/seven , 15
http://en.wikipedia.org/wiki/ice , 8
http://en.wikipedia.org/wiki/daily , 8
http://en.wikipedia.org/wiki/glass , 13
http://en.wikipedia.org/wiki/safety , 10
http://en.wikipedia.org/wiki/examine , 9
http://en.wikipedia.org/wiki/medicine , 21
http://en.wikipedia.org/wiki/cat , 10
http://en.wikipedia.org/wiki/led , 17
http://en.wikipedia.org/wiki/friendly , 7
http://en.wikipedia.org/wiki/catch , 7
http://en.wikipedia.org/wiki/bend , 7
http://en.wikipedia.org/wiki/part , 7
http://en.wikipedia.org/wiki/stuck , 7
http://en.wikipedia.org/wiki/flat , 7
http://en.wikipedia.org/wiki/scared , 7
http://en.wikipedia.org/wiki/belong , 7
http://en.wikipedia.org/wiki/believed , 7
http://en.wikipedia.org/wiki/report , 7
http://en.wikipedia.org/wiki/night , 7
http://en.wikipedia.org/wiki/friend , 10
http://en.wikipedia.org/wiki/farmer , 7
http://en.wikipedia.org/wiki/dig , 7
http://en.wikipedia.org/wiki/use , 7
http://en.wikipedia.org/wiki/energy , 24
http://en.wikipedia.org/wiki/paper , 7
http://en.wikipedia.org/wiki/coal , 10
http://en.wikipedia.org/wiki/soap , 7
http://en.wikipedia.org/wiki/spring , 7
http://en.wikipedia.org/wiki/arrow , 10
http://en.wikipedia.org/wiki/least , 7
http://en.wikipedia.org/wiki/powerful , 16
http://en.wikipedia.org/wiki/throw , 7
http://en.wikipedia.org/wiki/salmon , 11
http://en.wikipedia.org/wiki/grade , 8
http://en.wikipedia.org/wiki/save , 7
http://en.wikipedia.org/wiki/needle , 7
http://en.wikipedia.org/wiki/well , 7
http://en.wikipedia.org/wiki/person , 7
http://en.wikipedia.org/wiki/sad , 11
http://en.wikipedia.org/wiki/nor , 7
http://en.wikipedia.org/wiki/writing , 8
http://en.wikipedia.org/wiki/race , 7
http://en.wikipedia.org/wiki/information , 13
http://en.wikipedia.org/wiki/changing , 7
http://en.wikipedia.org/wiki/introduced , 7
http://en.wikipedia.org/wiki/bone , 15
http://en.wikipedia.org/wiki/hurried , 7
http://en.wikipedia.org/wiki/sand , 7
http://en.wikipedia.org/wiki/accurate , 7
http://en.wikipedia.org/wiki/rocket , 13
http://en.wikipedia.org/wiki/green , 10
